City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Pisco,PE,-13.7,-76.2167,60.85,77,20,11.5,few clouds
79,Pangody,RU,65.85,74.4859,30.52,84,27,9.73,scattered clouds
80,Dudinka,RU,69.4058,86.1778,33.62,79,10,1.83,clear sky
81,La Ronge,CA,55.1001,-105.2842,70.05,35,75,10.36,broken clouds
82,Muisne,EC,0.6,-80.0333,73.78,86,100,11.79,overcast clouds
83,Lagoa,PT,39.05,-27.9833,74.84,88,99,21.34,light rain
84,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,75,6.91,broken clouds
85,Pyaozerskiy,RU,65.8333,31.1667,42.78,64,100,5.35,overcast clouds
86,Tshikapa,CD,-6.4167,20.8,79.02,57,72,1.45,broken clouds
87,Georgetown,MY,5.4112,100.3354,78.89,96,40,3.44,scattered clouds
88,Salinopolis,BR,-0.6136,-47.3561,79.92,79,97,13.0,overcast clouds
89,Marsa Matruh,EG,31.3525,27.2453,77.2,65,40,5.75,scattered clouds
90,Khatanga,RU,71.9667,102.5,31.26,84,77,9.91,broken clouds
91,Karsun,RU,54.1994,46.9827,42.94,78,99,7.63,overcast clouds
92,Mangrol,IN,21.1167,70.1167,80.26,80,84,12.26,light rain
93,Gogrial,SS,8.5332,28.1004,72.7,89,55,3.15,broken clouds
94,Digboi,IN,27.3833,95.6333,74.34,89,96,0.98,overcast clouds
95,Hermanus,ZA,-34.4187,19.2345,53.8,88,23,8.05,few clouds
96,Biak,ID,-0.9131,122.8766,78.31,80,87,3.33,overcast clouds
97,San Jose,US,37.3394,-121.895,106.88,26,20,11.5,smoke
98,Mount Gambier,AU,-37.8333,140.7667,57.11,94,100,14.97,overcast clouds
99,Mount Darwin,ZW,-16.7725,31.5838,55.38,73,0,3.89,clear sky
100,Kutum,SD,14.2,24.6667,71.62,69,99,8.3,overcast clouds
101,Jamestown,US,42.097,-79.2353,66.18,69,100,8.05,overcast clouds
102,Labuhan,ID,-6.8844,112.2051,78.91,83,69,7.7,broken clouds
103,Tezu,IN,27.9167,96.1667,77.54,73,98,2.62,overcast clouds
104,Kalemie,CD,-5.9475,29.1947,74.37,51,36,1.99,scattered clouds
105,Tabou,CI,4.423,-7.3528,74.14,92,47,5.61,scattered clouds
106,Mar Del Plata,AR,-38.0023,-57.5575,62.62,77,0,9.22,clear sky
107,Texarkana,US,33.4251,-94.0477,88.02,61,0,7.0,clear sky
108,Padampur,IN,29.6833,73.6167,88.45,50,52,5.53,broken clouds
109,Laguna,US,38.421,-121.4238,111.06,15,0,9.22,clear sky
110,Bara,NG,10.3744,10.7288,72.39,93,78,5.5,broken clouds
111,Findhorn,GB,57.6572,-3.6085,60.33,94,0,11.5,clear sky
112,Siparia,TT,10.1333,-61.5,82.78,90,19,1.01,few clouds
113,Pimentel,PE,-6.8367,-79.9342,62.89,82,75,18.41,broken clouds
114,Kuusamo,FI,65.9667,29.1833,37.44,93,100,2.3,overcast clouds
115,Merauke,ID,-8.4667,140.3333,81.54,78,87,11.18,overcast clouds
116,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,88,0,4.61,clear sky
117,Danjiangkou,CN,32.5428,111.5086,79.29,44,99,3.11,overcast clouds
118,Sri Aman,MY,1.2376,111.4621,73.45,100,61,0.0,broken clouds
119,Huancabamba,PE,-5.2386,-79.4506,59.86,79,89,4.18,overcast clouds
120,Vestmannaeyjar,IS,63.4427,-20.2734,53.74,87,100,8.37,light rain
121,Hithadhoo,MV,-0.6,73.0833,81.72,71,96,15.17,overcast clouds
122,Caravelas,BR,-17.7125,-39.2481,68.5,72,100,6.46,overcast clouds
123,Challans,FR,46.8436,-1.8749,63.97,78,31,17.87,scattered clouds
124,Shahrud,IR,36.4182,54.9763,67.51,58,0,7.34,clear sky
125,Linguere,SN,15.3953,-15.1193,81.14,74,59,9.37,broken clouds
126,Norman Wells,CA,65.282,-126.8329,59.04,41,75,9.22,broken clouds
127,Yanam,IN,16.7333,82.2167,74.16,97,100,3.04,moderate rain
128,Upernavik,GL,72.7868,-56.1549,37.47,79,97,5.73,overcast clouds
129,Cuamba,MZ,-14.8031,36.5372,65.48,65,61,3.4,broken clouds
130,Pokhara,NP,28.2333,83.9833,68.77,84,34,4.43,scattered clouds
131,Cambridge,CA,43.3601,-80.3127,73.78,56,0,4.61,clear sky
132,Bukachacha,RU,52.9833,116.9167,51.69,48,6,2.37,clear sky
133,Tonantins,BR,-2.8731,-67.8022,78.55,82,82,3.31,broken clouds
134,Flinders,AU,-34.5833,150.8552,65.17,73,99,5.99,overcast clouds
135,Ancud,CL,-41.8697,-73.8203,43.23,89,98,7.54,light rain
136,Torbay,CA,47.6666,-52.7314,54.28,89,100,11.5,light intensity drizzle
137,Koslan,RU,63.4564,48.8989,32.41,97,20,4.83,few clouds
138,Hay River,CA,60.8156,-115.7999,55.38,47,75,9.22,broken clouds
139,Fortuna,US,40.5982,-124.1573,73.09,94,92,7.45,overcast clouds
140,Key West,US,24.5557,-81.7826,91.4,64,20,5.75,few clouds
141,Konibodom,TJ,40.2843,70.4426,77.76,25,0,13.4,clear sky
142,San Quintin,MX,30.4833,-115.95,80.26,68,19,6.33,few clouds
143,Petrolia,CA,42.8668,-82.1498,70.99,64,0,11.5,clear sky
144,Miri,MY,4.4148,114.0089,75.34,100,40,4.61,scattered clouds
145,Beyneu,KZ,45.3167,55.2,63.61,42,89,6.6,overcast clouds
146,Estevan,CA,49.1334,-102.9842,91.74,40,0,10.36,clear sky
147,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,16,7.67,few clouds
